Text not recognized;https://img03.platesmania.com/221018/o/20163761.jpg;https://img03.platesmania.com/221018/m/20163761.jpg
E-387-;https://img03.platesmania.com/221018/o/20163794.jpg;https://img03.platesmania.com/221018/m/20163794.jpg
ATR-048;https://img03.platesmania.com/221018/o/20163841.jpg;https://img03.platesmania.com/221018/m/20163841.jpg
HSN-787;https://img03.platesmania.com/221018/o/20163888.jpg;https://img03.platesmania.com/221018/m/20163888.jpg
MFT-136;https://img03.platesmania.com/221018/o/20163902.jpg;https://img03.platesmania.com/221018/m/20163902.jpg
SGCT-087;https://img03.platesmania.com/221018/o/20163937.jpg;https://img03.platesmania.com/221018/m/20163937.jpg
TGB-815;https://img03.platesmania.com/221018/o/20164110.jpg;https://img03.platesmania.com/221018/m/20164110.jpg
Text not recognized;https://img03.platesmania.com/221018/o/20164108.jpg;https://img03.platesmania.com/221018/m/20164108.jpg
JEW-019;https://img03.platesmania.com/221018/o/20164143.jpg;https://img03.platesmania.com/221018/m/20164143.jpg
US-L0;https://img03.platesmania.com/221018/o/20164322.jpg;https://img03.platesmania.com/221018/m/20164322.jpg
S-2Z-6;https://img03.platesmania.com/221018/o/20164313.jpg;https://img03.platesmania.com/221018/m/20164313.jpg
SISI-444;https://img03.platesmania.com/221018/o/20164329.jpg;https://img03.platesmania.com/221018/m/20164329.jpg
